event_id,slug,match,start_time_utc,team_a,team_b,outcome,market_id,market_question,market_yes_price,market_no_vig_probability,model_probability,calibrated_probability,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win,best_bid,best_ask,model_pick,market_pick,recommended
351771,fifwc-jpn-swe-2026-06-25,Japan vs. Sweden,2026-06-25T23:00:00Z,Japan,Sweden,Sweden,1897331,Will Sweden win on 2026-06-25?,0.265,0.261084,0.137516,0.209206,-0.055794,-0.210543,0.0,0,0.0,0.0,0,0.26,0.27,Japan,Japan,PASS
351772,fifwc-tun-nld-2026-06-25,Tunisia vs. Netherlands,2026-06-25T23:00:00Z,Tunisia,Netherlands,Tunisia,1897336,Will Tunisia win on 2026-06-25?,0.135,0.134328,0.057522,0.101092,-0.033908,-0.251173,0.0,0,0.0,0.0,0,0.13,0.14,Netherlands,Netherlands,PASS
351772,fifwc-tun-nld-2026-06-25,Tunisia vs. Netherlands,2026-06-25T23:00:00Z,Tunisia,Netherlands,Draw,1897338,Will Tunisia vs. Netherlands end in a draw?,0.205,0.20398,0.1,0.159046,-0.045954,-0.224164,0.0,0,0.0,0.0,0,0.2,0.21,Netherlands,Netherlands,PASS
351772,fifwc-tun-nld-2026-06-25,Tunisia vs. Netherlands,2026-06-25T23:00:00Z,Tunisia,Netherlands,Netherlands,1897340,Will Netherlands win on 2026-06-25?,0.665,0.661692,0.842478,0.742674,0.077674,0.116802,0.231862,0.02,20.0,20.0,10.08,0.66,0.67,Netherlands,Netherlands,YES
351773,fifwc-par-aus-2026-06-25,Paraguay vs. Australia,2026-06-26T02:00:00Z,Paraguay,Australia,Paraguay,1897345,Will Paraguay win on 2026-06-25?,0.44,0.437811,0.25929,0.360912,-0.079088,-0.179746,0.0,0,0.0,0.0,0,0.43,0.45,Australia,Paraguay,PASS
351773,fifwc-par-aus-2026-06-25,Paraguay vs. Australia,2026-06-26T02:00:00Z,Paraguay,Australia,Draw,1897347,Will Paraguay vs. Australia end in a draw?,0.305,0.303483,0.179685,0.250156,-0.054844,-0.179818,0.0,0,0.0,0.0,0,0.3,0.31,Australia,Paraguay,PASS
351773,fifwc-par-aus-2026-06-25,Paraguay vs. Australia,2026-06-26T02:00:00Z,Paraguay,Australia,Australia,1897348,Will Australia win on 2026-06-25?,0.26,0.258706,0.561025,0.391745,0.131745,0.50671,0.178033,0.02,20.0,20.0,56.92,0.25,0.27,Australia,Paraguay,YES
351774,fifwc-tur-usa-2026-06-25,Türkiye vs. United States,2026-06-26T02:00:00Z,Turkey,United States,Turkey,1897354,Will Türkiye win on 2026-06-25?,0.385,0.377451,0.44217,0.410021,0.025021,0.064989,0.040684,0.010171,10.17,10.17,16.25,0.38,0.39,Turkey,Turkey,YES
351774,fifwc-tur-usa-2026-06-25,Türkiye vs. United States,2026-06-26T02:00:00Z,Turkey,United States,Draw,1897355,Will Türkiye vs. United States end in a draw?,0.265,0.259804,0.217548,0.244232,-0.020768,-0.078368,0.0,0,0.0,0.0,0,0.26,0.27,Turkey,Turkey,PASS
351774,fifwc-tur-usa-2026-06-25,Türkiye vs. United States,2026-06-26T02:00:00Z,Turkey,United States,United States,1897356,Will United States win on 2026-06-25?,0.37,0.362745,0.340282,0.356994,-0.013006,-0.035152,0.0,0,0.0,0.0,0,0.36,0.38,Turkey,Turkey,PASS
351775,fifwc-nor-fra-2026-06-26,Norway vs. France,2026-06-26T19:00:00Z,Norway,France,Norway,1897363,Will Norway win on 2026-06-26?,0.225,0.221675,0.087016,0.164611,-0.060389,-0.268395,0.0,0,0.0,0.0,0,0.22,0.23,France,France,PASS
351775,fifwc-nor-fra-2026-06-26,Norway vs. France,2026-06-26T19:00:00Z,Norway,France,Draw,1897365,Will Norway vs. France end in a draw?,0.255,0.251232,0.104013,0.18892,-0.06608,-0.259137,0.0,0,0.0,0.0,0,0.25,0.26,France,France,PASS
351775,fifwc-nor-fra-2026-06-26,Norway vs. France,2026-06-26T19:00:00Z,Norway,France,France,1897366,Will France win on 2026-06-26?,0.535,0.527094,0.808971,0.654904,0.119904,0.22412,0.257858,0.02,20.0,20.0,17.38,0.53,0.54,France,France,YES
351776,fifwc-sen-irq-2026-06-26,Senegal vs. Iraq,2026-06-26T19:00:00Z,Senegal,Iraq,Senegal,1897372,Will Senegal win on 2026-06-26?,0.695,0.681373,0.381284,0.557701,-0.137299,-0.197552,0.0,0,0.0,0.0,0,0.69,0.7,Senegal,Senegal,PASS
351776,fifwc-sen-irq-2026-06-26,Senegal vs. Iraq,2026-06-26T19:00:00Z,Senegal,Iraq,Draw,1897373,Will Senegal vs. Iraq end in a draw?,0.215,0.210784,0.239509,0.225726,0.010726,0.049891,0.013664,0.003416,3.42,3.42,12.47,0.21,0.22,Senegal,Senegal,PASS
351776,fifwc-sen-irq-2026-06-26,Senegal vs. Iraq,2026-06-26T19:00:00Z,Senegal,Iraq,Iraq,1897374,Will Iraq win on 2026-06-26?,0.11,0.107843,0.379207,0.227819,0.117819,1.071085,0.132381,0.02,20.0,20.0,161.82,0.1,0.12,Senegal,Senegal,YES
351777,fifwc-cvi-ksa-2026-06-26,Cabo Verde vs. Saudi Arabia,2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,Cape Verde,1897379,Will Cabo Verde win on 2026-06-26?,0.415,0.408867,0.205949,0.323508,-0.091492,-0.220462,0.0,0,0.0,0.0,0,0.41,0.42,Saudi Arabia,Cape Verde,PASS
351777,fifwc-cvi-ksa-2026-06-26,Cabo Verde vs. Saudi Arabia,2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,Draw,1897381,Will Cabo Verde vs. Saudi Arabia end in a draw?,0.265,0.261084,0.157162,0.217804,-0.047196,-0.178097,0.0,0,0.0,0.0,0,0.26,0.27,Saudi Arabia,Cape Verde,PASS
351777,fifwc-cvi-ksa-2026-06-26,Cabo Verde vs. Saudi Arabia,2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,Saudi Arabia,1897383,Will Saudi Arabia win on 2026-06-26?,0.335,0.330049,0.636889,0.467123,0.132123,0.394396,0.198681,0.02,20.0,20.0,39.7,0.33,0.34,Saudi Arabia,Cape Verde,YES
351778,fifwc-ury-esp-2026-06-26,Uruguay vs. Spain,2026-06-27T00:00:00Z,Uruguay,Spain,Uruguay,1897389,Will Uruguay win on 2026-06-26?,0.175,0.172414,0.068141,0.128233,-0.046767,-0.26724,0.0,0,0.0,0.0,0,0.17,0.18,Spain,Spain,PASS
351778,fifwc-ury-esp-2026-06-26,Uruguay vs. Spain,2026-06-27T00:00:00Z,Uruguay,Spain,Draw,1897390,Will Uruguay vs. Spain end in a draw?,0.245,0.241379,0.1,0.18154,-0.06346,-0.259019,0.0,0,0.0,0.0,0,0.24,0.25,Spain,Spain,PASS
351778,fifwc-ury-esp-2026-06-26,Uruguay vs. Spain,2026-06-27T00:00:00Z,Uruguay,Spain,Spain,1897392,Will Spain win on 2026-06-26?,0.595,0.586207,0.831859,0.698662,0.103662,0.174222,0.255955,0.02,20.0,20.0,13.61,0.59,0.6,Spain,Spain,YES
351779,fifwc-egy-irn-2026-06-26,Egypt vs. IR Iran,2026-06-27T03:00:00Z,Egypt,Iran,Egypt,1897397,Will Egypt win on 2026-06-26?,0.435,0.432836,0.298043,0.37506,-0.05994,-0.137793,0.0,0,0.0,0.0,0,0.43,0.44,Iran,Egypt,PASS
351779,fifwc-egy-irn-2026-06-26,Egypt vs. IR Iran,2026-06-27T03:00:00Z,Egypt,Iran,Draw,1897398,Will Egypt vs. IR Iran end in a draw?,0.305,0.303483,0.196936,0.257705,-0.047295,-0.155064,0.0,0,0.0,0.0,0,0.3,0.31,Iran,Egypt,PASS
351779,fifwc-egy-irn-2026-06-26,Egypt vs. IR Iran,2026-06-27T03:00:00Z,Egypt,Iran,Iran,1897399,Will IR Iran win on 2026-06-26?,0.265,0.263682,0.505022,0.370046,0.105046,0.3964,0.14292,0.02,20.0,20.0,55.47,0.26,0.27,Iran,Egypt,YES
351780,fifwc-nzl-bel-2026-06-26,New Zealand vs. Belgium,2026-06-27T03:00:00Z,New Zealand,Belgium,New Zealand,1897406,Will New Zealand win on 2026-06-26?,0.085,0.083744,0.121534,0.100989,0.015989,0.188107,0.017474,0.004369,4.37,4.37,47.03,0.08,0.09,Belgium,Belgium,YES
351780,fifwc-nzl-bel-2026-06-26,New Zealand vs. Belgium,2026-06-27T03:00:00Z,New Zealand,Belgium,Draw,1897408,Will New Zealand vs. Belgium end in a draw?,0.155,0.152709,0.12083,0.140045,-0.014955,-0.096481,0.0,0,0.0,0.0,0,0.15,0.16,Belgium,Belgium,PASS
351780,fifwc-nzl-bel-2026-06-26,New Zealand vs. Belgium,2026-06-27T03:00:00Z,New Zealand,Belgium,Belgium,1897409,Will Belgium win on 2026-06-26?,0.775,0.763547,0.757636,0.767401,-0.007599,-0.009806,0.0,0,0.0,0.0,0,0.77,0.78,Belgium,Belgium,PASS
351782,fifwc-hrv-gha-2026-06-27,Croatia vs. Ghana,2026-06-27T21:00:00Z,Croatia,Ghana,Croatia,1897423,Will Croatia win on 2026-06-27?,0.605,0.60199,0.858123,0.71578,0.11078,0.183107,0.280456,0.02,20.0,20.0,13.06,0.6,0.61,Croatia,Croatia,YES
351782,fifwc-hrv-gha-2026-06-27,Croatia vs. Ghana,2026-06-27T21:00:00Z,Croatia,Ghana,Draw,1897425,Will Croatia vs. Ghana end in a draw?,0.255,0.253731,0.1,0.187164,-0.067836,-0.266024,0.0,0,0.0,0.0,0,0.25,0.26,Croatia,Croatia,PASS
351782,fifwc-hrv-gha-2026-06-27,Croatia vs. Ghana,2026-06-27T21:00:00Z,Croatia,Ghana,Ghana,1897427,Will Ghana win on 2026-06-27?,0.145,0.144279,0.041877,0.099868,-0.045132,-0.311256,0.0,0,0.0,0.0,0,0.14,0.15,Croatia,Croatia,PASS
351781,fifwc-pan-eng-2026-06-27,Panama vs. England,2026-06-27T21:00:00Z,Panama,England,Panama,1897415,Will Panama win on 2026-06-27?,0.105,0.103448,0.069681,0.089542,-0.015458,-0.147214,0.0,0,0.0,0.0,0,0.1,0.11,England,England,PASS
351781,fifwc-pan-eng-2026-06-27,Panama vs. England,2026-06-27T21:00:00Z,Panama,England,Draw,1897416,Will Panama vs. England end in a draw?,0.145,0.142857,0.1,0.125306,-0.019694,-0.135823,0.0,0,0.0,0.0,0,0.14,0.15,England,England,PASS
351781,fifwc-pan-eng-2026-06-27,Panama vs. England,2026-06-27T21:00:00Z,Panama,England,England,1897417,Will England win on 2026-06-27?,0.765,0.753695,0.830319,0.793587,0.028587,0.037369,0.121647,0.02,20.0,20.0,6.14,0.76,0.77,England,England,YES
351783,fifwc-col-prt-2026-06-27,Colombia vs. Portugal,2026-06-27T23:30:00Z,Colombia,Portugal,Colombia,1897432,Will Colombia win on 2026-06-27?,0.265,0.261084,0.222486,0.246394,-0.018606,-0.070213,0.0,0,0.0,0.0,0,0.26,0.27,Portugal,Portugal,PASS
