match_date,match_id,year,side,team,opponent,population,wealth_gdp_ppp,avg_temp_c,rank,population_score,wealth_score,climate_score,ranking_score,score_for,score_against,actual,city,host_country
2014-06-23,341,2014,a,Australia,Spain,23475686.0,47108.5906459966,21.7,37,0.5223320719397946,0.7375192233345459,0.8182760289835492,0.32529640685768524,0,3,loss,Curitiba,Brazil
2014-06-23,341,2014,b,Spain,Australia,46460733.0,33760.9555646369,13.3,2,0.6019201037428138,0.6725380828698713,0.9559974818331,0.8704847618765743,3,0,win,Curitiba,Brazil
2014-06-23,342,2014,a,Brazil,Cameroon,200085127.0,15827.3081625749,25.0,1,0.7721546621821516,0.5247740616202564,0.6065306597126334,1.0,4,1,win,Brasília,Brazil
2014-06-23,342,2014,b,Cameroon,Brazil,22059893.0,3422.26128158344,24.6,59,0.5150798097890271,0.22606689851763986,0.6334696366573507,0.23810808466678612,1,4,loss,Brasília,Brazil
2014-06-23,343,2014,a,Croatia,Mexico,4201598.0,22706.1799469484,11.9,17,0.32174203721081696,0.5951678362463477,0.9014367207433535,0.4706112767948082,1,3,loss,Recife,Brazil
2014-06-23,343,2014,b,Mexico,Croatia,119784261.0,18820.7991098584,21.0,18,0.7123390150466901,0.5585618305763711,0.8569968914352789,0.4599311704813728,3,1,win,Recife,Brazil
2014-06-23,344,2014,a,Netherlands,Chile,16865008.0,49751.3092860822,10.4,5,0.48377352068496027,0.7481653516096424,0.8240037097874372,0.6992749298851911,2,0,win,São Paulo,Brazil
2014-06-23,344,2014,b,Chile,Netherlands,17864195.0,22553.6161787372,8.5,7,0.49048404452411987,0.5938528614113928,0.7066482778577162,0.6364047587727383,0,2,loss,São Paulo,Brazil
2014-06-24,345,2014,a,Costa Rica,England,4767119.0,16393.8095428323,24.8,34,0.33646446980162076,0.531633398128091,0.6200068879809457,0.3410960386713825,0,0,draw,Belo Horizonte,Brazil
2014-06-24,345,2014,b,England,Costa Rica,64620000.0,41266.8197795309,9.3,11,0.6403844694292071,0.7116952062343312,0.7579796312276883,0.5519508901404825,0,0,draw,Belo Horizonte,Brazil
2014-06-24,346,2014,a,Greece,Ivory Coast,10892413.0,26450.181326726,15.4,22,0.4328041384695464,0.6249375853192393,0.9977802450856064,0.4224356520170568,2,1,win,Fortaleza,Brazil
2014-06-24,346,2014,b,Ivory Coast,Greece,24527395.0,4074.21445539789,26.4,21,0.5274415974650934,0.26007910215768504,0.5129102907232946,0.43112796307513745,1,2,loss,Fortaleza,Brazil
2014-06-24,347,2014,a,Italy,Uruguay,60320707.0,36665.68576775,13.5,16,0.6323575449011793,0.6886368364218327,0.962154491713458,0.48193904750629724,0,1,loss,Natal,Brazil
