market_id,question,slug,market_type,team,group,yes_price,no_price,liquidity,volume,end_date,model_probability,calibrated_yes_probability,recommended_side,trade_probability,trade_price,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win
558974,Will Switzerland win the 2026 FIFA World Cup?,will-switzerland-win-the-2026-fifa-world-cup,outright_winner,Switzerland,,0.0135,0.9865,1828689.73738,43038196.43455882,2026-07-20T00:00:00Z,0.0039,0.009299,PASS,0.990701,0.9865,0.004201,0.004259,0.31122,0.0,0.0,0.0,0.0
558943,Will USA win the 2026 FIFA World Cup?,will-usa-win-the-2026-fifa-world-cup-467,outright_winner,United States,,0.0115,0.9885,6111050.15778,60106732.86507434,2026-07-20T00:00:00Z,0.0022,0.00743,PASS,0.99257,0.9885,0.00407,0.004118,0.353928,0.0,0.0,0.0,0.0
839562,Will Cape Verde win Group H in the 2026 FIFA World Cup?,will-cape-verde-win-group-h-in-the-2026-fifa-world-cup,group_winner,Cape Verde,H,0.0105,0.9895,65448.09371,87735.433203,2026-06-27T00:00:00Z,0.0012,0.00643,PASS,0.99357,0.9895,0.00407,0.004113,0.387635,0.0,0.0,0.0,0.0
839439,Will Belgium win Group G in the 2026 FIFA World Cup?,will-belgium-win-group-g-in-the-2026-fifa-world-cup,group_winner,Belgium,G,0.695,0.305,42188.9523,104351.82349500006,2026-06-27T00:00:00Z,0.7011,0.69767,PASS,0.69767,0.695,0.00267,0.003841,0.008753,0.0,0.0,0.0,0.0
558947,Will Colombia win the 2026 FIFA World Cup?,will-colombia-win-the-2026-fifa-world-cup-734,outright_winner,Colombia,,0.0175,0.9825,4019815.49917,45506858.39943035,2026-07-20T00:00:00Z,0.0091,0.013824,PASS,0.986176,0.9825,0.003676,0.003742,0.210073,0.0,0.0,0.0,0.0
840173,Will Uzbekistan win Group K in the 2026 FIFA World Cup?,will-uzbekistan-win-group-k-in-the-2026-fifa-world-cup,group_winner,Uzbekistan,K,0.0225,0.9775,41000.20764,29252.59688200001,2026-06-27T00:00:00Z,0.0142,0.018867,PASS,0.981133,0.9775,0.003633,0.003716,0.161445,0.0,0.0,0.0,0.0
558985,Will Turkiye win the 2026 FIFA World Cup?,will-turkiye-win-the-2026-fifa-world-cup,outright_winner,Turkey,,0.0115,0.9885,2732636.19089,41548810.284854114,2026-07-20T00:00:00Z,0.0041,0.008261,PASS,0.991739,0.9885,0.003239,0.003276,0.28162,0.0,0.0,0.0,0.0
558944,Will Uruguay win the 2026 FIFA World Cup?,will-uruguay-win-the-2026-fifa-world-cup-932,outright_winner,Uruguay,,0.0095,0.9905,9994588.31405,45552094.71165397,2026-07-20T00:00:00Z,0.0027,0.006524,PASS,0.993476,0.9905,0.002976,0.003005,0.313267,0.0,0.0,0.0,0.0
558955,Will Ecuador win the 2026 FIFA World Cup?,will-ecuador-win-the-2026-fifa-world-cup-986,outright_winner,Ecuador,,0.0085,0.9915,4600067.23604,50228466.16425569,2026-07-20T00:00:00Z,0.00175,0.005546,PASS,0.994454,0.9915,0.002954,0.002979,0.347548,0.0,0.0,0.0,0.0
558965,Will Senegal win the 2026 FIFA World Cup?,will-senegal-win-the-2026-fifa-world-cup,outright_winner,Senegal,,0.0065,0.9935,5911418.14122,41547591.69552247,2026-07-20T00:00:00Z,0.0,0.003655,PASS,0.996345,0.9935,0.002845,0.002863,0.437653,0.0,0.0,0.0,0.0
